product_name,region,quarter,units_sold,revenue_usd
XPR Analytical Balance,EMEA,Q1-2025,45,830250
XPR Analytical Balance,Americas,Q1-2025,62,1143900
XPR Analytical Balance,APAC,Q1-2025,31,571950
XPR Analytical Balance,EMEA,Q2-2025,52,959400
XPR Analytical Balance,Americas,Q2-2025,58,1069800
XPR Analytical Balance,APAC,Q2-2025,38,701100
T50 Titrator,EMEA,Q1-2025,28,336000
T50 Titrator,Americas,Q1-2025,35,420000
T50 Titrator,APAC,Q1-2025,19,228000
T50 Titrator,EMEA,Q2-2025,33,396000
T50 Titrator,Americas,Q2-2025,41,492000
T50 Titrator,APAC,Q2-2025,22,264000
SevenExcellence pH Meter,EMEA,Q1-2025,85,297500
SevenExcellence pH Meter,Americas,Q1-2025,120,420000
SevenExcellence pH Meter,APAC,Q1-2025,67,234500
SevenExcellence pH Meter,EMEA,Q2-2025,91,318500
SevenExcellence pH Meter,Americas,Q2-2025,135,472500
SevenExcellence pH Meter,APAC,Q2-2025,73,255500
DSC 3+ Thermal Analyzer,EMEA,Q1-2025,12,540000
DSC 3+ Thermal Analyzer,Americas,Q1-2025,18,810000
DSC 3+ Thermal Analyzer,APAC,Q1-2025,8,360000
DSC 3+ Thermal Analyzer,EMEA,Q2-2025,15,675000
DSC 3+ Thermal Analyzer,Americas,Q2-2025,21,945000
DSC 3+ Thermal Analyzer,APAC,Q2-2025,11,495000
